ID,Country,Pollutant,Value,Unit,Last Update,Source Name
1,Lithuania,CO,151.346,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
2,Lithuania,CO,221.198,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
3,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
4,Lithuania,CO,209.556,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
5,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
6,Lithuania,CO,244.482,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
7,Lithuania,CO,197.914,µg/m³,"November 13, 2023 7:00 AM",EEA Lithuania
8,Lithuania,CO,139.704,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
9,Lithuania,CO,197.914,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
10,Lithuania,NO2,8.032,µg/m³,"November 13, 2023 7:00 AM",EEA Lithuania
11,Lithuania,NO2,1.721,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
12,Lithuania,NO2,4.399,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
13,Lithuania,NO2,5.929,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
14,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
15,Lithuania,NO2,7.459,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
16,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
17,Lithuania,NO2,3.634,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
18,Lithuania,NO2,20.273,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
19,Lithuania,NO2,1.148,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
20,Lithuania,NO2,1.913,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
21,Lithuania,NO2,1.53,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
22,Lithuania,NO2,0.765,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
23,Lithuania,NO2,3.251,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
24,Lithuania,O3,52.088,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
25,Lithuania,O3,42.908,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
26,Lithuania,O3,41.91,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
27,Lithuania,O3,29.936,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
28,Lithuania,O3,39.315,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
29,Lithuania,O3,29.337,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
30,Lithuania,O3,47.099,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
31,Lithuania,O3,33.129,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
32,Lithuania,O3,49.693,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
33,Lithuania,O3,37.12,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
34,Lithuania,O3,56.478,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
35,Lithuania,O3,47.498,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
36,Lithuania,O3,43.107,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
37,Lithuania,PM2.5,2.21,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
38,Lithuania,PM2.5,1.35,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
39,Lithuania,PM2.5,6.52,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
40,Lithuania,PM2.5,2.06,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
41,Lithuania,PM2.5,4.43,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
42,Lithuania,PM10,6.93,µg/m³,"November 13, 2023 7:00 AM",EEA Lithuania
43,Lithuania,PM10,14.32,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
44,Lithuania,PM10,7.69,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
45,Lithuania,PM10,2.46,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
46,Lithuania,PM10,4.09,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
47,Lithuania,PM10,3.64,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
48,Lithuania,PM10,3.47,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
49,Lithuania,PM10,4.86,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
50,Lithuania,PM10,5.08,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
51,Lithuania,PM10,5.24,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
52,Lithuania,PM10,7.26,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
53,Lithuania,PM10,9.17,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
54,Lithuania,PM10,9.62,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
55,Lithuania,SO2,8.515,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
56,Lithuania,SO2,3.459,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
57,Lithuania,SO2,2.395,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
58,Lithuania,SO2,1.863,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
59,Lithuania,SO2,2.129,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
60,Lithuania,SO2,13.305,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
61,Lithuania,SO2,3.193,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
62,Lithuania,SO2,10.378,µg/m³,"November 13, 2023 6:00 AM",EEA Lithuania
63,Lithuania,SO2,4.524,µg/m³,"November 13, 2023 5:00 AM",EEA Lithuania
